Degree,Major,Skills,Certifications,GPA,Internship_Experience,Number_of_Projects,Job_Role
B.Tech,Information Technology,"Deep Learning, Python, TensorFlow",AWS,8.79,3.0,7,AI Engineer
B.Tech,Computer Science,"Azure, Docker, Git, Kubernetes, Python",Google Cloud,6.76,0.0,3,DevOps Engineer
M.Tech,Data Science,"Deep Learning, Kubernetes, Machine Learning, Python, SQL, TensorFlow",None,7.54,2.0,2,Data Scientist
B.Tech,Information Technology,"AWS, Git, Java, JavaScript, Python, SQL",None,7.0,1.0,4,Software Developer
MCA,Information Technology,"Deep Learning, Docker, Git, Machine Learning, Python, TensorFlow",Google Cloud,7.5,2.0,2,AI Engineer
MBA,Information Technology,"AWS, Azure, Kubernetes, Linux",Azure,7.72,0.0,4,Cloud Engineer
B.Tech,Electronics,"Deep Learning, Machine Learning, Python, SQL",None,7.61,2.0,5,Data Scientist
B.Tech,Information Technology,"Git, JavaScript, MongoDB, Node.js, PHP, React",Google Cloud,,2.0,1,Frontend Developer
B.E,Computer Science,"C++, Docker, Linux",AWS,7.95,2.0,3,Cloud Engineer
M.Tech,Information Technology,"AWS, Docker, Kubernetes, Node.js",AWS,7.53,2.0,3,Cloud Engineer
B.Sc,Data Science,"C++, Deep Learning, Machine Learning, Python, TensorFlow",None,7.56,2.0,3,AI Engineer
M.Tech,Electronics,"Deep Learning, Machine Learning, Python, TensorFlow",Google Cloud,,2.0,1,AI Engineer
M.Tech,Information Technology,"AWS, Azure, Docker, Linux",Cisco,8.08,2.0,2,Cloud Engineer
B.Tech,Electronics,"Azure, Git, JavaScript, Node.js, React, TensorFlow",None,7.15,3.0,6,Frontend Developer
B.Sc,Data Science,"Deep Learning, Java, Kubernetes, Machine Learning, Python, SQL, TensorFlow",Google Cloud,7.9,2.0,3,Data Scientist
B.Tech,Information Technology,"Git, JavaScript, Node.js, React",None,7.54,2.0,4,Frontend Developer
B.Tech,Data Science,"JavaScript, Kubernetes, Linux",Cisco,9.63,2.0,2,Cloud Engineer
B.Tech,Information Technology,"Azure, Git, Java, Python",None,7.2,0.0,1,Software Developer
B.Tech,Computer Science,"AWS, C++, Docker, Git, Kubernetes, Linux, Python, TensorFlow",PMP,8.26,1.0,3,DevOps Engineer
B.Tech,Information Technology,"C++, Git, Java, MongoDB, Node.js, Python, SQL, TensorFlow",AWS,7.73,1.0,2,Backend Developer
BCA,Information Technology,"AWS, Docker, Git, Kubernetes, Linux, PHP, Python, TensorFlow",AWS,7.42,3.0,2,DevOps Engineer
B.Tech,Information Technology,"C++, Git, JavaScript, MongoDB, Python, SQL",PMP,7.05,0.0,2,Software Developer
B.Tech,Computer Science,"Docker, Git, Java, Node.js, Python, React, SQL",Azure,7.51,3.0,2,Backend Developer
B.Sc,Information Technology,"C++, JavaScript, Python",None,7.9,1.0,7,Software Developer
M.Tech,Data Science,"AWS, Deep Learning, Machine Learning, MongoDB, Python, TensorFlow",AWS,7.9,2.0,2,AI Engineer
B.Sc,Data Science,"C++, PHP, Python, TensorFlow",Azure,8.18,2.0,4,AI Engineer
B.Tech,Computer Science,"AWS, Azure, Docker, Git, Kubernetes, Linux",Cisco,7.98,1.0,1,DevOps Engineer
B.Tech,Computer Science,"C++, Git, Java, JavaScript, Node.js, Python, SQL",PMP,6.7,1.0,2,Software Developer
BCA,Data Science,"Git, JavaScript",None,6.55,1.0,3,Frontend Developer
MCA,Information Technology,"C++, Deep Learning, Machine Learning, MongoDB, Python, SQL",AWS,7.68,3.0,1,Data Scientist
M.Tech,Electronics,"AWS, Java, MongoDB, PHP, SQL",Google Cloud,8.41,1.0,1,Backend Developer
B.Tech,Data Science,"Java, Kubernetes, Python, SQL",None,7.43,2.0,4,Software Developer
BCA,Data Science,"AWS, Azure, Docker, Git, Kubernetes, Linux, React",Google Cloud,7.45,1.0,3,DevOps Engineer
B.Tech,Data Science,"Git, Java, MongoDB, Node.js, PHP, Python, SQL, TensorFlow",AWS,7.32,0.0,3,Backend Developer
B.Sc,Computer Science,"Docker, JavaScript, MongoDB, Node.js, PHP, React",None,,1.0,6,Frontend Developer
BCA,Data Science,"Azure, Docker, Git, JavaScript, Node.js, React",Azure,7.14,0.0,3,Frontend Developer
BCA,Data Science,"AWS, Java, Linux, Python, SQL",None,7.99,1.0,4,Backend Developer
B.Tech,Computer Science,"C++, Git, Java, SQL",AWS,8.01,1.0,5,Software Developer
M.Tech,Electronics,"Deep Learning, Kubernetes, Machine Learning, MongoDB, Python, TensorFlow",Azure,9.07,3.0,8,AI Engineer
MCA,Information Technology,"AWS, Azure, Docker, Git, Kubernetes, Linux, MongoDB, Python",AWS,8.29,1.0,2,DevOps Engineer
B.Tech,Information Technology,"AWS, Azure, Docker, Git, Linux, Python, React",Azure,8.31,1.0,3,DevOps Engineer
B.Tech,Computer Science,"Azure, C++, Java, JavaScript, Machine Learning, Python, SQL",Google Cloud,6.43,2.0,4,Software Developer
M.Tech,Data Science,"C++, Git, Java, JavaScript, Machine Learning, Python, SQL",Cisco,8.17,1.0,1,Software Developer
MCA,Data Science,"Docker, Kubernetes, Linux",Cisco,7.17,1.0,3,DevOps Engineer
B.E,Electronics,"Git, Linux, Node.js, SQL",None,7.42,2.0,2,Backend Developer
BCA,Computer Science,"AWS, Azure, Docker, MongoDB, SQL",Azure,8.25,1.0,3,Cloud Engineer
BCA,Information Technology,"C++, Git, PHP, Python, SQL",None,8.95,2.0,4,Software Developer
M.Tech,Data Science,"AWS, Azure, Kubernetes, Linux, PHP, React",AWS,7.72,1.0,2,Cloud Engineer
MCA,Electronics,"Deep Learning, Java, Machine Learning, Python, SQL, TensorFlow",None,8.97,1.0,3,Data Scientist
B.Tech,Data Science,"AWS, Deep Learning, Machine Learning, Python",Google Cloud,7.89,3.0,2,AI Engineer
B.Tech,Computer Science,"C++, Deep Learning, Machine Learning, Python, TensorFlow",Azure,7.33,1.0,2,AI Engineer
B.Tech,Data Science,"AWS, Deep Learning, Machine Learning, Python, SQL, TensorFlow",PMP,7.71,3.0,1,Data Scientist
B.Sc,Information Technology,"Deep Learning, Git, Machine Learning, PHP, Python, SQL, TensorFlow",AWS,9.21,1.0,2,Data Scientist
BCA,Computer Science,"AWS, Docker, Kubernetes, Linux, Python, TensorFlow",Cisco,8.03,1.0,2,DevOps Engineer
MCA,Computer Science,"AWS, Git, Java, JavaScript",AWS,8.99,2.0,6,Software Developer
BCA,Data Science,"Git, Java, MongoDB, Node.js, Python, SQL",None,7.49,0.0,4,Backend Developer
B.Tech,Computer Science,"Git, JavaScript, Node.js, React",Google Cloud,,1.0,5,Frontend Developer
MCA,Computer Science,"Docker, Git, Java, SQL",None,6.83,1.0,2,Backend Developer
BCA,Data Science,"C++, Git, React, SQL",PMP,7.65,1.0,4,Software Developer
BCA,Data Science,"Git, MongoDB, SQL",None,8.42,1.0,2,Backend Developer
BCA,Information Technology,"Git, JavaScript, PHP, React, SQL, TensorFlow",None,6.37,0.0,1,Frontend Developer
M.Tech,Data Science,"C++, Deep Learning, Git, Python, TensorFlow",AWS,7.06,3.0,5,AI Engineer
M.Tech,Information Technology,"C++, Deep Learning, JavaScript, Machine Learning, Python, TensorFlow",Azure,7.98,3.0,5,AI Engineer
BCA,Information Technology,"Deep Learning, Git, JavaScript, React",None,7.66,1.0,3,Frontend Developer
M.Tech,Data Science,"AWS, Azure, C++, Deep Learning, Docker, Linux",Cisco,8.15,0.0,1,DevOps Engineer
B.Sc,Information Technology,"Azure, Deep Learning, Git, Machine Learning, Python, SQL, TensorFlow",PMP,7.61,1.0,2,Data Scientist
B.E,Computer Science,"AWS, Azure, Deep Learning, Git, Kubernetes, Linux, PHP",AWS,7.69,2.0,4,DevOps Engineer
B.Tech,Information Technology,"AWS, Azure, Docker, Kubernetes, Linux",AWS,7.97,1.0,1,Cloud Engineer
BCA,Data Science,"JavaScript, Node.js, PHP, React, SQL",None,7.7,2.0,4,Frontend Developer
M.Tech,Computer Science,"Git, JavaScript, MongoDB, Node.js, React, TensorFlow",None,8.21,3.0,2,Frontend Developer
B.Tech,Information Technology,"Git, JavaScript, Node.js, React",None,6.43,3.0,8,Frontend Developer
B.Tech,Computer Science,"Deep Learning, Machine Learning, Python, TensorFlow",None,7.94,1.0,3,AI Engineer
MCA,Information Technology,"AWS, Azure, Git, JavaScript, Kubernetes, Linux, Python, TensorFlow",Azure,7.69,2.0,3,DevOps Engineer
M.Tech,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux",Azure,7.01,3.0,2,Cloud Engineer
BCA,Information Technology,"AWS, Docker, Kubernetes, Linux, PHP",Azure,9.14,1.0,1,Cloud Engineer
B.Tech,Information Technology,"C++, Git, Java, JavaScript, SQL, TensorFlow",Google Cloud,6.98,2.0,2,Software Developer
B.Tech,Computer Science,"AWS, Azure, Linux, React, SQL",AWS,8.71,1.0,2,Cloud Engineer
M.Tech,Data Science,"Deep Learning, Git, Kubernetes, Machine Learning, Python, SQL, TensorFlow",Google Cloud,7.98,2.0,5,Data Scientist
B.E,Data Science,"Git, Java, Machine Learning, MongoDB, Python",None,7.45,,2,Backend Developer
MCA,Information Technology,"C++, Git, Java, MongoDB, Node.js, Python, SQL",None,8.33,1.0,3,Backend Developer
MCA,Electronics,"AWS, Azure, Kubernetes, Linux",AWS,6.62,2.0,3,Cloud Engineer
B.Tech,Information Technology,"AWS, Azure, Deep Learning, Machine Learning, Python, SQL, TensorFlow",Google Cloud,8.66,2.0,3,Data Scientist
M.Tech,Information Technology,"C++, Deep Learning, Machine Learning, Node.js, PHP, Python, TensorFlow",Azure,8.7,3.0,4,AI Engineer
B.Tech,Electronics,"C++, Git, Machine Learning, MongoDB, SQL",None,7.06,2.0,1,Software Developer
B.Sc,Computer Science,"JavaScript, Node.js, PHP, React",None,6.91,3.0,4,Frontend Developer
B.Sc,Information Technology,"Python, React",,7.71,2.0,2,Software Developer
M.Tech,Computer Science,"AWS, Azure, C++, Docker, Kubernetes, Linux",Google Cloud,7.07,0.0,2,Cloud Engineer
M.Tech,Information Technology,"AWS, Docker, Git, Kubernetes, PHP",Google Cloud,7.34,2.0,3,Cloud Engineer
B.Sc,Information Technology,Java,Azure,7.26,2.0,1,Software Developer
B.Tech,Computer Science,"Deep Learning, Docker, Kubernetes, Machine Learning, Python, TensorFlow",AWS,7.9,1.0,6,AI Engineer
BCA,Data Science,"Java, Node.js, Python, SQL",None,7.05,1.0,2,Backend Developer
M.Tech,Data Science,"AWS, Azure, Docker, Git, Kubernetes, Python, SQL",Google Cloud,6.84,2.0,4,DevOps Engineer
M.Tech,Electronics,"Azure, Docker, Kubernetes, Linux, Machine Learning",Google Cloud,8.16,1.0,2,DevOps Engineer
B.Sc,Computer Science,"Git, JavaScript, Node.js, PHP, React",None,7.18,2.0,5,Frontend Developer
B.Tech,Information Technology,"Git, Java, Python, SQL, TensorFlow",Azure,5.95,1.0,3,Software Developer
M.Tech,Computer Science,"AWS, Machine Learning, SQL",Azure,8.63,2.0,5,Data Scientist
M.Tech,Electronics,"C++, Deep Learning, Linux, Machine Learning, Python, React, TensorFlow",Google Cloud,7.62,2.0,5,AI Engineer
B.Tech,Data Science,"C++, Deep Learning, Machine Learning, Python, TensorFlow",Google Cloud,8.35,1.0,4,AI Engineer
MCA,Computer Science,"Git, Java, Linux, MongoDB, Node.js, Python, SQL",Azure,,3.0,3,Backend Developer
B.Tech,Electronics,"Git, Java, JavaScript, MongoDB, Python, SQL",Google Cloud,8.21,1.0,2,Backend Developer
MCA,Computer Science,"AWS, Azure, Docker, Git, Kubernetes, Linux, Python, TensorFlow",Google Cloud,7.26,1.0,3,DevOps Engineer
B.Tech,Information Technology,"Git, JavaScript, PHP, React",None,6.21,1.0,5,Frontend Developer
MCA,Computer Science,"Deep Learning, Machine Learning, Python, SQL",Cisco,8.46,2.0,5,Data Scientist
M.Tech,Computer Science,"AWS, Java, Linux, Python, SQL",None,8.09,0.0,2,Backend Developer
BCA,Electronics,"C++, Git, Java, JavaScript, Python, SQL",Google Cloud,6.91,2.0,3,Software Developer
BCA,Computer Science,"C++, Git, Linux, Python, SQL",None,7.71,2.0,4,Software Developer
MCA,Information Technology,"Git, MongoDB, Node.js, React, SQL",AWS,6.05,,2,Frontend Developer
MCA,Information Technology,"AWS, Azure, Deep Learning, Git, Kubernetes, Linux, Python",Cisco,9.37,2.0,1,DevOps Engineer
BCA,Data Science,"C++, Deep Learning, Git, JavaScript, Node.js, PHP, React",None,6.73,1.0,4,Frontend Developer
MCA,Information Technology,"Git, Java, Node.js, PHP, Python, SQL",PMP,8.68,1.0,3,Backend Developer
B.Tech,Computer Science,"C++, Deep Learning, Machine Learning, Python, TensorFlow",AWS,7.94,1.0,1,AI Engineer
M.Tech,Computer Science,"AWS, Azure, Deep Learning, Machine Learning, Python, TensorFlow",PMP,8.07,,1,Data Scientist
MCA,Computer Science,"Deep Learning, JavaScript, Machine Learning, Node.js, Python, SQL, TensorFlow",None,8.08,1.0,4,Data Scientist
B.Tech,Computer Science,"JavaScript, PHP, React",None,8.37,2.0,2,Frontend Developer
BCA,Computer Science,"Git, JavaScript, PHP, React",PMP,6.88,2.0,3,Frontend Developer
B.Tech,Computer Science,"AWS, Azure, Docker, Git, Kubernetes, Linux, MongoDB, Python, SQL",Azure,7.89,2.0,4,DevOps Engineer
MBA,Computer Science,"Git, Java, MongoDB, Node.js, Python",None,6.4,1.0,1,Backend Developer
M.Tech,Data Science,"Docker, Git, SQL",Azure,8.24,3.0,2,Backend Developer
MCA,Computer Science,"AWS, Azure, Git, Kubernetes, Linux, Python",Google Cloud,8.0,2.0,2,DevOps Engineer
B.Tech,Computer Science,"C++, Java, Node.js, Python",AWS,6.79,1.0,2,Software Developer
B.Sc,Computer Science,"Deep Learning, Docker, Machine Learning, Python, SQL, TensorFlow",None,8.51,2.0,3,Data Scientist
MCA,Computer Science,Linux,Azure,8.04,,3,Cloud Engineer
BCA,Computer Science,"AWS, Java, Node.js, Python, SQL",Cisco,7.55,0.0,2,Backend Developer
B.Tech,Information Technology,"Git, Java, JavaScript, Python, SQL",None,9.64,0.0,2,Software Developer
B.Tech,Information Technology,"Git, Java, Kubernetes, MongoDB, Python",None,8.18,2.0,4,Backend Developer
B.Tech,Information Technology,"C++, Deep Learning, Docker, Java, Machine Learning, Python, TensorFlow",Google Cloud,7.63,3.0,2,AI Engineer
B.Tech,Data Science,"Deep Learning, Linux, Machine Learning, MongoDB, TensorFlow",Azure,7.11,2.0,3,AI Engineer
BCA,Information Technology,"Git, Java, JavaScript, PHP, React, SQL",Azure,6.71,1.0,6,Frontend Developer
B.Tech,Computer Science,"AWS, C++, Machine Learning, Python, SQL, TensorFlow",Google Cloud,7.62,1.0,3,Data Scientist
B.Sc,Information Technology,"AWS, Git, JavaScript, Python, React",None,7.38,1.0,2,Frontend Developer
MCA,Information Technology,"Git, JavaScript, Python, React",None,9.01,0.0,2,Software Developer
BCA,Computer Science,"AWS, C++, Git, JavaScript, Python, SQL",AWS,7.42,0.0,3,Software Developer
B.Tech,Computer Science,"C++, Git, JavaScript, Node.js, Python",None,6.06,3.0,2,Software Developer
M.Tech,Electronics,"Deep Learning, Machine Learning, Python, TensorFlow",AWS,8.34,3.0,6,AI Engineer
B.E,Computer Science,"Machine Learning, Python, SQL, TensorFlow",PMP,7.28,2.0,1,Data Scientist
B.Tech,Computer Science,"PHP, Python, SQL, TensorFlow",Azure,9.14,3.0,4,Data Scientist
M.Tech,Computer Science,"AWS, Docker, Git, Kubernetes, Linux",AWS,7.02,3.0,2,DevOps Engineer
B.Tech,Computer Science,"C++, Deep Learning, Machine Learning, Python, TensorFlow",Google Cloud,8.1,2.0,2,AI Engineer
M.Tech,Information Technology,"AWS, Docker, Git, Kubernetes, Linux, React",PMP,8.1,1.0,3,DevOps Engineer
M.Tech,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux",AWS,7.88,1.0,2,Cloud Engineer
B.Tech,Electronics,"Git, JavaScript, React, TensorFlow",PMP,7.71,3.0,7,Frontend Developer
B.Tech,Data Science,"Git, Java, JavaScript",None,6.97,3.0,5,Frontend Developer
B.E,Computer Science,"Git, Python",AWS,7.49,2.0,3,Software Developer
BCA,Computer Science,"Git, Java, Node.js, PHP, Python, SQL",None,8.01,1.0,2,Backend Developer
M.Tech,Information Technology,"AWS, React, TensorFlow",Azure,8.74,2.0,2,Cloud Engineer
M.Tech,Electronics,"AWS, Azure, Docker, Git, Kubernetes, Linux",,8.72,2.0,2,DevOps Engineer
B.Tech,Data Science,"Git, JavaScript, Node.js, PHP, SQL",None,9.37,3.0,4,Frontend Developer
B.Tech,Information Technology,"C++, Docker, Git, Java, Machine Learning, Python, SQL",Azure,8.26,0.0,5,Software Developer
B.Tech,Computer Science,"Deep Learning, Git, JavaScript",Google Cloud,6.78,3.0,2,Frontend Developer
B.Tech,Electronics,"Git, Java, MongoDB, Python",Azure,7.07,0.0,3,Backend Developer
BCA,Data Science,"AWS, Docker, Java, Kubernetes, Linux, Python",Google Cloud,8.19,2.0,2,DevOps Engineer
MCA,Data Science,"AWS, Azure, Docker, Kubernetes, Linux, SQL",Google Cloud,7.36,1.0,3,Cloud Engineer
B.Tech,Information Technology,"Git, JavaScript, React",None,7.35,0.0,2,Frontend Developer
B.Sc,Electronics,"Git, JavaScript, Python, SQL",None,7.52,1.0,4,Software Developer
B.Tech,Information Technology,"Git, JavaScript, PHP, React",Google Cloud,7.36,0.0,4,Frontend Developer
M.Tech,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux, Machine Learning, SQL",AWS,8.51,3.0,2,DevOps Engineer
M.Tech,Electronics,"AWS, Docker, Git, Kubernetes, Linux, Machine Learning, Python",AWS,6.82,2.0,2,DevOps Engineer
BCA,Information Technology,"Java, Machine Learning, Python",AWS,7.69,3.0,5,AI Engineer
M.Tech,Information Technology,"AWS, Azure, Deep Learning, Git, Kubernetes, Linux, MongoDB, Python",Azure,7.45,2.0,3,DevOps Engineer
B.Tech,Data Science,"Git, JavaScript, PHP, React, SQL",Google Cloud,7.69,1.0,6,Frontend Developer
M.Tech,Data Science,"AWS, Deep Learning, Machine Learning, Python, SQL, TensorFlow",None,7.1,1.0,3,Data Scientist
BCA,Computer Science,"Git, Java, MongoDB, PHP, Python, SQL",Azure,7.0,1.0,3,Backend Developer
B.Sc,Computer Science,"JavaScript, Node.js, PHP, Python, React",Google Cloud,6.81,0.0,6,Frontend Developer
BCA,Computer Science,"Git, Java, JavaScript, Node.js, PHP, React",Google Cloud,8.32,3.0,2,Frontend Developer
B.Tech,Electronics,"AWS, Deep Learning, Machine Learning, PHP, Python, SQL",AWS,8.16,2.0,7,Data Scientist
BCA,Data Science,"AWS, Azure, Deep Learning, Git, Java, Kubernetes, Python",,8.27,2.0,2,DevOps Engineer
B.E,Data Science,"Azure, Docker, Kubernetes, Linux, SQL",None,7.16,0.0,4,Cloud Engineer
B.Sc,Information Technology,"AWS, Azure, Git, Node.js, SQL",None,7.83,1.0,2,Backend Developer
M.Tech,Information Technology,"AWS, Docker, Linux, TensorFlow",AWS,6.92,0.0,1,Cloud Engineer
B.Sc,Information Technology,"Git, JavaScript, MongoDB, React, TensorFlow",Google Cloud,7.18,2.0,4,Frontend Developer
M.Tech,Data Science,"AWS, Docker, Git, Kubernetes, Linux, Python",AWS,8.58,1.0,4,DevOps Engineer
B.Tech,Information Technology,"AWS, C++, Deep Learning, Git, Java, JavaScript, Python, SQL",Azure,8.36,1.0,1,Software Developer
BCA,Computer Science,"Azure, Java, MongoDB, Python, SQL",Cisco,6.8,0.0,1,Backend Developer
B.Tech,Information Technology,"Docker, Java, MongoDB, Node.js, Python, SQL",None,6.28,0.0,1,Backend Developer
B.Tech,Information Technology,"C++, Git, Java, MongoDB",AWS,8.12,1.0,1,Software Developer
B.Tech,Information Technology,"Git, Java, PHP, SQL",PMP,9.11,1.0,3,Software Developer
MCA,Data Science,"AWS, Azure, Docker, Git, Linux, Python",Azure,7.73,1.0,3,DevOps Engineer
B.Tech,Computer Science,"C++, SQL",Azure,5.77,1.0,3,Software Developer
M.Tech,Computer Science,"Git, Machine Learning, Python, SQL, TensorFlow",Azure,8.6,2.0,5,Data Scientist
M.Tech,Computer Science,"C++, Deep Learning, Machine Learning, Node.js, Python, TensorFlow",None,7.75,2.0,3,AI Engineer
B.Sc,Information Technology,"Git, JavaScript, Node.js, Python",None,7.93,0.0,4,Frontend Developer
MCA,Computer Science,"Docker, Git, MongoDB, Node.js, SQL, TensorFlow",None,7.77,2.0,2,Backend Developer
B.Tech,Computer Science,"AWS, Deep Learning, Machine Learning, Python, TensorFlow",Google Cloud,7.42,2.0,7,Data Scientist
B.Tech,Computer Science,"Azure, Git, Java, SQL",Cisco,7.29,3.0,1,Backend Developer
B.Sc,Computer Science,"Git, Java, JavaScript, PHP, Python, React",None,6.63,3.0,3,Frontend Developer
M.Tech,Computer Science,"Docker, Linux, TensorFlow",Azure,7.53,1.0,3,Cloud Engineer
B.Sc,Information Technology,"Machine Learning, PHP, Python, TensorFlow",Google Cloud,7.86,1.0,4,AI Engineer
B.Tech,Computer Science,"C++, Deep Learning, Machine Learning, TensorFlow",None,8.47,1.0,5,AI Engineer
B.E,Computer Science,"C++, Git, JavaScript, React, SQL",PMP,7.54,1.0,3,Software Developer
BCA,Information Technology,"Git, React",None,7.63,1.0,4,Frontend Developer
B.Sc,Electronics,"Git, JavaScript, Node.js, React, TensorFlow",PMP,7.52,3.0,5,Frontend Developer
B.Sc,Computer Science,"Git, JavaScript, Node.js, React",None,6.73,2.0,5,Frontend Developer
B.Tech,Computer Science,"Deep Learning, Machine Learning, MongoDB, Python, TensorFlow",Google Cloud,8.2,1.0,8,AI Engineer
M.Tech,Computer Science,"AWS, C++, Docker, Machine Learning, Python, SQL, TensorFlow",Cisco,8.58,1.0,1,Data Scientist
B.Tech,Data Science,"Git, Java, JavaScript, Python, SQL",Azure,7.38,0.0,1,Software Developer
M.Tech,Information Technology,"AWS, Azure, Docker, Kubernetes",AWS,7.37,3.0,1,Cloud Engineer
MBA,Computer Science,"Git, PHP, Python, React",Google Cloud,6.42,2.0,1,Backend Developer
BCA,Electronics,"AWS, Deep Learning, Machine Learning, Python, SQL, TensorFlow",Azure,8.92,1.0,2,Data Scientist
M.Tech,Computer Science,"AWS, Azure, Docker, Git, Linux, Node.js",Azure,7.4,3.0,2,Cloud Engineer
B.Tech,Information Technology,"AWS, Azure, Git, Java, JavaScript, Kubernetes, Linux, Python",AWS,8.05,1.0,2,DevOps Engineer
BCA,Information Technology,"C++, Deep Learning, Python, TensorFlow",,,3.0,10,AI Engineer
B.Tech,Computer Science,"AWS, Docker, Git, Kubernetes, Linux, Node.js, Python, TensorFlow",Cisco,8.89,1.0,2,DevOps Engineer
B.Tech,Computer Science,"C++, Machine Learning, Python, TensorFlow",Google Cloud,7.87,3.0,2,AI Engineer
B.Tech,Computer Science,"Git, Java, MongoDB, Node.js, PHP, Python, SQL",None,7.51,1.0,3,Backend Developer
MCA,Data Science,"AWS, Docker, Git, Kubernetes, Linux",AWS,8.63,2.0,3,DevOps Engineer
M.Tech,Data Science,"AWS, Deep Learning, Git, Linux, Machine Learning, Python, SQL, TensorFlow",AWS,7.86,1.0,1,Data Scientist
M.Tech,Data Science,"AWS, Deep Learning, Machine Learning, Python, SQL, TensorFlow",None,8.61,1.0,1,Data Scientist
B.Sc,Computer Science,"AWS, Azure, Docker, Kubernetes, Linux",AWS,7.18,0.0,2,Cloud Engineer
MCA,Electronics,"C++, Git, Java, JavaScript, Python, React",None,8.47,2.0,4,Software Developer
B.Tech,Computer Science,"Deep Learning, Kubernetes, Machine Learning, MongoDB, Python, TensorFlow",AWS,8.72,1.0,6,AI Engineer
MCA,Electronics,"Git, SQL, TensorFlow",Google Cloud,8.67,2.0,1,Backend Developer
B.Tech,Information Technology,"Docker, Git, JavaScript, Kubernetes, Node.js, PHP, React",Azure,7.88,2.0,2,Frontend Developer
BCA,Computer Science,"AWS, C++, Deep Learning, Machine Learning, Node.js, Python, TensorFlow",AWS,7.25,3.0,6,AI Engineer
B.Sc,Computer Science,"Git, JavaScript, Node.js, PHP, SQL",AWS,5.65,3.0,4,Frontend Developer
B.Sc,Information Technology,"Azure, Git, Machine Learning, Python, TensorFlow",Azure,8.69,2.0,3,Data Scientist
BCA,Data Science,"Azure, Git, Java, Kubernetes, MongoDB, SQL",None,,1.0,3,Backend Developer
B.Tech,Electronics,"AWS, Azure, Docker, Kubernetes, Linux, MongoDB, SQL",Google Cloud,,1.0,3,Cloud Engineer
B.E,Information Technology,"AWS, Azure, Git, Kubernetes, Linux, PHP, TensorFlow",Azure,8.22,2.0,2,DevOps Engineer
B.Tech,Computer Science,"AWS, Azure, C++, Linux, TensorFlow",Google Cloud,7.86,1.0,3,Cloud Engineer
MCA,Data Science,"AWS, Azure, Deep Learning, Java, Machine Learning, Python, SQL, TensorFlow",AWS,,3.0,4,Data Scientist
M.Tech,Data Science,"AWS, Kubernetes, Machine Learning, Python, SQL",Azure,7.6,3.0,3,Data Scientist
B.Tech,Computer Science,"Java, MongoDB, Node.js, Python, SQL",None,7.8,2.0,3,Backend Developer
B.Tech,Information Technology,"AWS, Azure, Docker, Kubernetes, Linux",Azure,7.95,1.0,2,DevOps Engineer
B.Tech,Computer Science,"Deep Learning, Machine Learning, Node.js, Python, SQL",Azure,8.93,2.0,2,Data Scientist
B.Tech,Data Science,"AWS, Azure, Docker, Linux",AWS,9.17,1.0,2,Cloud Engineer
B.Tech,Computer Science,"Git, Java, Python, SQL",Cisco,8.61,2.0,5,Software Developer
M.Tech,Information Technology,"AWS, Azure, Kubernetes, Machine Learning, Python, SQL",Google Cloud,8.02,1.0,2,Data Scientist
B.Tech,Electronics,"AWS, Git, Machine Learning, Node.js, Python, SQL",None,7.4,3.0,4,Data Scientist
M.Tech,Information Technology,"AWS, Java, Machine Learning, Python, SQL",Azure,7.81,2.0,7,Data Scientist
M.Tech,Computer Science,"AWS, Deep Learning, Kubernetes, Machine Learning, Python, TensorFlow",None,7.15,1.0,4,AI Engineer
MCA,Electronics,"Deep Learning, Python, SQL",Azure,8.15,1.0,4,Data Scientist
B.Tech,Information Technology,"C++, Deep Learning, Machine Learning, Python, TensorFlow",Google Cloud,8.91,2.0,7,AI Engineer
B.Tech,Computer Science,"AWS, Azure, Docker, Git, Kubernetes, Linux, Python",,7.75,1.0,3,DevOps Engineer
BCA,Information Technology,"Deep Learning, Java, MongoDB, Node.js, SQL",AWS,7.54,1.0,2,Backend Developer
B.Tech,Electronics,"Deep Learning, Machine Learning, Python, TensorFlow",AWS,7.97,2.0,5,AI Engineer
BCA,Computer Science,"C++, Deep Learning, Machine Learning, Python",None,7.68,3.0,4,AI Engineer
M.Tech,Information Technology,"C++, Docker, Git, Java, Python, React",None,8.84,0.0,2,Software Developer
BCA,Information Technology,"C++, Git, Java, JavaScript, Python, SQL",AWS,8.15,0.0,1,Software Developer
B.Tech,Data Science,"Docker, Git, JavaScript, Node.js, PHP, Python, React",Azure,6.94,1.0,2,Frontend Developer
B.Tech,Information Technology,"Git, Java, Python, React, SQL",Azure,8.79,0.0,4,Software Developer
B.E,Data Science,"AWS, Azure, Docker, Kubernetes, Node.js",Google Cloud,6.92,2.0,3,Cloud Engineer
MCA,Data Science,"C++, Git, Linux, Python, SQL",AWS,7.35,3.0,1,Software Developer
BCA,Information Technology,"Git, JavaScript, Machine Learning, MongoDB, SQL",None,8.15,2.0,2,Backend Developer
MCA,Information Technology,"AWS, Azure, Docker, Git, Kubernetes, Linux, Machine Learning, Python, React",Google Cloud,8.48,1.0,1,DevOps Engineer
MCA,Information Technology,"C++, Git, Java, MongoDB, Python, SQL",Cisco,7.12,0.0,1,Backend Developer
